State,City,Frequency,Name,Location,lat,lng
OH,West Union,92.7,W224BO,"West Union, OH, USA",38.7946596,-83.5438731
OH,Wilmington,102.3,WKLN,"Wilmington, OH, USA",39.4453393,-83.8285375
OH,Wooster,90.9,WKWO,"Wooster, OH, USA",40.7974633,-81.9460011
OH,Youngstown,107.1,WLVX,"Youngstown, OH, USA",41.0999013,-80.6514748
OH,Youngstown,101.9,WYLR,"Youngstown, OH, USA",41.0999013,-80.6514748
OK,Ada,90.3,K212FZ,"Ada, OK, USA",34.774531,-96.6783449
OK,Altus,90.9,KKVO,"Altus, OK, USA",34.637765,-99.3340442
OK,Ardmore,88.9,K205FI,"Ardmore, OK, USA",34.1742611,-97.1436254
OK,Chickasha,100.9,K265DT,"Chickasha, OK, USA",35.052565,-97.9364326
OK,Duncan,103.1,K276FR,"Duncan, OK, USA",34.5023028,-97.9578128
OK,Enid,105.5,K288FX,"Enid, OK, USA",36.3955891,-97.8783911
OK,Lawton,89.9,KWKL,"Lawton, OK, USA",34.6075126,-98.3920462
OK,McAlester,88.5,KTKL,"McAlester, OK, USA",34.9334298,-95.7697131
OK,Oklahoma City,88.9,KYLV,"Oklahoma City, OK, USA",35.4688692,-97.519539
OK,Stillwater,106.3,K292FJ,"Stillwater, OK, USA",36.1157217,-97.0585722
OK,Tulsa,98.9,K255BE,"Tulsa, OK, USA",36.1551375,-95.989501
OK,Tulsa,106.5,K293AP,"Tulsa, OK, USA",36.1551375,-95.989501
OK,Tulsa,103.7,KDKL,"Tulsa, OK, USA",36.1551375,-95.989501
OK,Tulsa,88.1,KTUA-HD2,"Tulsa, OK, USA",36.1551375,-95.989501
OK,Tulsa-Bartlesville,89.1,KKLB,"Tulsa-Bartlesville, OK, USA",36.7467005,-95.9783538
OR,Astoria,88.7,KLOY,"Astoria, OR, USA",46.1878841,-123.8312534
OR,Bend,90.5,KVLB,"Bend, OR, USA",44.0581728,-121.3153096
OR,Cave Junction,92.5,K223CS,"Cave Junction, OR, USA",42.1628912,-123.6481235
OR,Coos Bay,91.7,K219CK,"Coos Bay, OR, USA",43.3672213,-124.2131325
OR,Eugene,100.9,K265DF,"Eugene, OR, USA",44.052121,-123.0896705
OR,Eugene,107.3,K297AJ,"Eugene, OR, USA",44.052121,-123.0896705
OR,Grants Pass,91.1,KLXG,"Grants Pass, OR, USA",42.4390069,-123.3283925
OR,Hood River,91.1,K216EB,"Hood River, OR, USA",45.708857,-121.5122706
OR,Klamath Falls,100.7,KLKF,"Klamath Falls, OR, USA",42.224867,-121.7816704
OR,La Grande,88.9,K205DV,"La Grande, OR, USA",45.3245771,-118.0877188
OR,La Pine,90.1,KVLQ,"La Pine, OR, USA",43.6703014,-121.5037711
OR,Medford/Ashland,101.1,KLMD,"Medford/Ashland, OR, USA",42.1967113,-122.7139216
OR,Newport,89.9,K210CW,"Newport, OR, USA",44.6367836,-124.0534505
OR,Portland,97.9,KLVP,"Portland, OR, USA",45.515232,-122.6783853
OR,Roseburg,89.3,KLOV,"Roseburg, OR, USA",43.2135109,-123.3412844
OR,Salem/Albany,107.1,KLVU,"Salem/Albany, OR, USA",44.6393666,-123.0763654
OR,The Dalles,101.5,KDLZ,"The Dalles, OR, USA",45.6017716,-121.1848433
OR,Tillamook,90.3,KLON,"Tillamook, OR, USA",45.4562158,-123.8440137
PA,Altoona,93.5,WLKE,"Altoona, PA, USA",40.5186809,-78.3947359
PA,Bloomsburg,95.9,WKBP,"Bloomsburg, PA, USA",41.003698,-76.4549457
PA,Gettysburg,1320,WGET-AM,"Gettysburg, PA, USA",39.8309293,-77.2310955
PA,Gettysburg,93.7,W229DK,"Gettysburg, PA, USA",39.8309293,-77.2310955
PA,Halifax,88.5,WKHW,"Halifax, PA, USA",40.4681409,-76.9319198
PA,Harrisburg,92.1,WKHL,"Harrisburg, PA, USA",40.2731911,-76.8867008
PA,Johnstown,105.7,WLKJ,"Johnstown, PA, USA",40.3267407,-78.9219698
PA,Oil City,96.3,WLOQ,"Oil City, PA, USA",41.4339484,-79.7064413
PA,Philadelphia,106.9,WKVP,"Philadelphia, PA, USA",39.9525839,-75.1652215
PA,Pittsburgh,98.3,WPKV,"Pittsburgh, PA, USA",40.4386612,-79.9972352
PA,Scranton,88.3,WLKA,"Scranton, PA, USA",41.410314,-75.661099
PA,Somerset,97.7,WLKH,"Somerset, PA, USA",40.008411,-79.0780831
PA,State College,107.9,WKPA,"State College, PA, USA",40.7933949,-77.8600012
PA,Sunbury,100.9,WVLY-FM,"Sunbury, PA, USA",40.862585,-76.7944104
PA,Uniontown,92.5,W223BY,"Uniontown, PA, USA",39.900076,-79.7164326
